"Item Name","Type","Minimum Threshold","Current Available Stock","Status"
"4"" Solid Block","Product (SB-4)","2000","17500","Good"
"6"" Solid Block","Product (SB-6)","1500","18699","Good"
"8"" Solid Block","Product (SB-8)","1000","10200","Good"
"Concrete Well Ring 3 Feet","Product (WR-3)","30","257","Good"
"Concrete Well Ring 4 Feet","Product (WR-4)","25","180","Good"
"Well Ring Lid 3 Feet","Product (WRL-3)","25","220","Good"
"Well Ring Lid 4 Feet","Product (WRL-4)","20","150","Good"
"Concrete Plate","Product (CP-1)","50","500","Good"
"1/4"" Stone Chips","Raw Material (chips)","15","100.254546","Good"
"Dust","Raw Material (dust)","12","71.527272","Good"
"Cement","Raw Material (cement)","20","100.472728","Good"
